origin_city,dest_city,total_trips,unique_drivers,total_cost,avg_cost,min_cost,max_cost
Москва,Тольятти,3,3,60000.0,20000.0,20000.0,20000.0
Москва,Томск,3,2,187934.0,62644.666666666664,54600.0,66667.0
Москва,Тюмень,14,10,513200.0,36657.142857142855,30000.0,45000.0
Москва,Улан-Удэ,15,11,1194800.0,79653.33333333333,50000.0,156600.0
Москва,Ульяновск,1,1,25000.0,25000.0,25000.0,25000.0
Москва,Уфа,16,12,465800.0,29112.5,22000.0,35000.0
Москва,Хабаровск,3,3,272200.0,90733.33333333333,72000.0,125000.0
Москва,Чебоксары,2,2,50200.0,25100.0,20200.0,30000.0
Москва,Челябинск,13,12,509150.0,39165.38461538462,25000.0,73500.0
Москва,Чита,3,2,195334.0,65111.333333333336,62000.0,66667.0
Набережные Челны,Москва,4,2,98001.0,24500.25,22667.0,30000.0
Нальчик,Москва,4,2,123500.0,30875.0,30000.0,32500.0
Нальчик,Санкт-Петербург,1,1,35000.0,35000.0,35000.0,35000.0
Нальчик,Тольятти,2,2,32000.0,16000.0,15000.0,17000.0
Невинномысск,Москва,3,3,71000.0,23666.666666666668,20000.0,26000.0
Невинномысск,Санкт-Петербург,1,1,40000.0,40000.0,40000.0,40000.0
Невинномысск,Тольятти,3,3,65000.0,21666.666666666668,20000.0,25000.0
Нижневартовск,Казань,1,1,32000.0,32000.0,32000.0,32000.0
Нижневартовск,Москва,2,2,95000.0,47500.0,45000.0,50000.0
Нижневартовск,Нижневартовск,1,1,4500.0,4500.0,4500.0,4500.0
Нижневартовск,Сургут,1,1,20000.0,20000.0,20000.0,20000.0
Нижневартовск,Тольятти,3,2,100000.0,33333.333333333336,30000.0,35000.0
Нижневартовск,Тюмень,5,3,120000.0,24000.0,15000.0,45000.0
Нижний Новгород,Москва,1,1,15000.0,15000.0,15000.0,15000.0
Нижний Новгород,Нижний Новгород,2,2,14500.0,7250.0,5500.0,9000.0
Нижний Новгород,Новосибирск,2,2,70000.0,35000.0,30000.0,40000.0
Нижний Новгород,Омск,2,2,70000.0,35000.0,30000.0,40000.0
Нижний Новгород,Улан-Удэ,1,1,80000.0,80000.0,80000.0,80000.0
Новосибирск,Абакан,1,1,30000.0,30000.0,30000.0,30000.0
Новосибирск,Барнаул,2,1,46000.0,23000.0,23000.0,23000.0
Новосибирск,Владивосток,1,1,40000.0,40000.0,40000.0,40000.0
Новосибирск,Воронеж,1,1,60000.0,60000.0,60000.0,60000.0
Новосибирск,Екатеринбург,2,2,55000.0,27500.0,25000.0,30000.0
Новосибирск,Иркутск,1,1,25000.0,25000.0,25000.0,25000.0
Новосибирск,Казань,1,1,45000.0,45000.0,45000.0,45000.0
Новосибирск,Краснодар,5,2,251000.0,50200.0,45000.0,56000.0
Новосибирск,Красноярск,4,3,48000.0,12000.0,10000.0,16000.0
Новосибирск,Москва,9,7,418100.0,46455.555555555555,43200.0,55000.0
Новосибирск,Новосибирск,3,3,15000.0,5000.0,5000.0,5000.0
Новосибирск,Омск,1,1,16500.0,16500.0,16500.0,16500.0
Новосибирск,Ростов-на-Дону,5,2,283000.0,56600.0,55000.0,60000.0
Новосибирск,Санкт-Петербург,1,1,50000.0,50000.0,50000.0,50000.0
Новосибирск,Тольятти,1,1,35000.0,35000.0,35000.0,35000.0
Новосибирск,Тюмень,2,2,47000.0,23500.0,22000.0,25000.0
Новосибирск,Уфа,4,1,125260.0,31315.0,31250.0,31500.0
Новосибирск,Хабаровск,1,1,35000.0,35000.0,35000.0,35000.0
Новосибирск,Челябинск,2,2,45000.0,22500.0,20000.0,25000.0
Новосибирск,Чита,1,1,20000.0,20000.0,20000.0,20000.0
Новый Уренгой,Тюмень,1,1,25000.0,25000.0,25000.0,25000.0
Ногинск,Москва,1,1,5000.0,5000.0,5000.0,5000.0
Омск,Барнаул,1,1,7500.0,7500.0,7500.0,7500.0
Омск,Екатеринбург,1,1,12000.0,12000.0,12000.0,12000.0
Омск,Казань,3,2,117000.0,39000.0,35000.0,42000.0
Омск,Кемерово,2,2,25000.0,12500.0,10000.0,15000.0
Омск,Краснодар,1,1,48000.0,48000.0,48000.0,48000.0
Омск,Красноярск,1,1,15000.0,15000.0,15000.0,15000.0
Омск,Москва,8,7,355000.0,44375.0,40000.0,55000.0
Омск,Нижний Новгород,1,1,40000.0,40000.0,40000.0,40000.0
Омск,Новосибирск,1,1,5000.0,5000.0,5000.0,5000.0
Омск,Омск,2,2,10000.0,5000.0,5000.0,5000.0
Омск,Санкт-Петербург,1,1,53200.0,53200.0,53200.0,53200.0
Омск,Тольятти,1,1,20000.0,20000.0,20000.0,20000.0
Оренбург,Москва,2,1,72000.0,36000.0,32000.0,40000.0
Орёл,Москва,2,2,34000.0,17000.0,16000.0,18000.0
Пенза,Москва,1,1,20000.0,20000.0,20000.0,20000.0
Пенза,Пенза,1,1,4100.0,4100.0,4100.0,4100.0
Переславль-Залесский,Москва,1,1,14000.0,14000.0,14000.0,14000.0
Пермь,Москва,3,3,52600.0,17533.333333333332,7600.0,25000.0
